"Tarih","PM10","SO2","NO2","O3"
"2020/4/1","22.81338","70.68766","24.5704",
"2020/4/1","11.28081","70.96289","24.88079",
"2020/4/1","16.85139","70.57054",,
"2020/4/1","16.02292","70.57313","32.45149",
"2020/4/1","16","71.09959","28.93059",
"2020/4/1","23.80709","70.62707","27.61146",
"2020/4/1","23.02415","70.87534","25.9443",
"2020/4/1","17.14427","71.04269","29.30202",
"2020/4/1","17","70.50441","27.60233",
"2020/4/1","25.76462","71.52482","24.26173",
"2020/4/1","18.18768","71.44945","16.31561",
"2020/4/1","27.75887","71.762","10.72473",
"2020/4/1","25.07059","71.65228","10.17985",
"2020/4/1","28.9063","71.15094","10.90217",
"2020/4/1","18.26525","71.63232","12.04956",
"2020/4/1","17.02273","71.66077","10.13249",
"2020/4/1","25.79545","71.75388","10.44345",
"2020/4/1","29.89697","71.62124","12.19277",
"2020/4/1","32.9299","8.73864","12.28121",
"2020/3/31","29.08955","9.25753","16.54383",
"2020/3/31","32.90341","8.87455","17.57996",
"2020/3/31","34.95177","9.07936","20.82699",
"2020/3/31","43.78298","8.48468","26.99926",
"2020/3/31","47.89555","8.46302","24.6189",
"2020/3/31","48","7.89679","20.30607",
"2020/3/31","50.92105","7.57404","27.63486",
"2020/3/31","56.84235","7.12713","24.48767",
"2020/3/31","57","6.50328",,
"2020/3/31","55.04977","6.69368","13.64198",
"2020/3/31","58.89408","7.46558","20.01224",
"2020/3/31","61.92641","7.07337","44.28994",
"2020/3/31","60.05092","7.69712","50.84049",
"2020/3/31","53.17797","8.12174","61.31989",
"2020/3/31","42.28045","9.26715","61.14358",
"2020/3/31","41.0256","9.37517","60.35508",
"2020/3/31","44.89441","8.75943","46.28746",
"2020/3/31","51.83645","9.16744","48.83042",
"2020/3/31","50.04969","8.31526","49.80208",
"2020/3/31","48.0528","8.78052","37.68919",
"2020/3/31","55.80093","9.04038","32.35278",
"2020/3/31","61.85532","9.16169","51.70146",
"2020/3/31","62","8.53036","51.27362",
"2020/3/31","66.89812","7.69415","52.25718",
"2020/3/30","93.37978","8.02051","52.05178",
"2020/3/30","108.5957","8.22568","68.91227",
"2020/3/30","90.5106","7.44666","100.9946",
"2020/3/30","63.7256","6.95173","88.6843",
"2020/3/30","55.19291","6.93376","46.18304",
"2020/3/30","50.1282","6.81752","31.04792",
"2020/3/30","51.94436","6.11276","18.64062",
"2020/3/30","52.97656","6.63602","19.47078",
"2020/3/30","56.90031","6.02251","25.86442",
"2020/3/30","58.94712","6.5177",,
"2020/3/30","52.16232","6.73026","14.63247",
"2020/3/30","56.87252","7.0422","10.30309",
"2020/3/30","42.38243","7.30944","18.4124",
"2020/3/30","44.9234","8.08579","23.29464",
"2020/3/30","36.22946","8.08185","25.27789",
"2020/3/30","39.89787","8.79021","32.81835",
"2020/3/30","33.16856","8.82913","26.53825",
"2020/3/30","39.82153","8.32091","20.38024",
"2020/3/30","40","8.70379","15.30059",
"2020/3/30","40","8.49667","12.67204",
"2020/3/30","36.09938","8.43436","11.55261",
"2020/3/30","34.05288","8.01961","14.24905",
"2020/3/30","42.7764","8.48709","17.82586",
"2020/3/30","37.13105","8.23711","25.26134",
"2020/3/29","43.825","8.89411","29.83092",
"2020/3/29","44","7.9348","20.71288",
"2020/3/29","33.26829","8.41447","19.46108",
"2020/3/29","57.39199","8.53578","24.92187",
"2020/3/29","47.28085","9.0657","18.33766",
"2020/3/29","25.5617","8.17178","16.78346",
"2020/3/29","33.76989","8.38287","13.78976",
"2020/3/29","36.9234","8.51193","14.80991",
"2020/3/29","34.08182","8.93029","15.03071",
"2020/3/29","36.92546","8.78411","13.08797",
"2020/3/29","37.97348","9.23571",,
"2020/3/29","14.59813","8.85347","11.014",
"2020/3/29","15.95016","8.13873","12.67147",
"2020/3/29","17.94992","8.59438","12.92993",
"2020/3/29","12.15","8.40869","12.82951",
"2020/3/29","12","8.51559","21.46544",
"2020/3/29","12","8.26967","23.19194",
"2020/3/29","21.72935","8.00454","11.51153",
"2020/3/29","27.84681","8.46094","11.47273",
"2020/3/29","42.61648","8.27894","18.47059",
"2020/3/29","50.79575","8.44828","37.29037",
"2020/3/29","64.61111","8.15249","38.42064",
"2020/3/29","63.05296","7.79685","53.7275",
"2020/3/29","65.92969","7.89155","45.20398",
"2020/3/28","66.97356","8.99411","38.24947",
"2020/3/28","61.16339","8.01448","29.13256",
"2020/3/28","58.07234","8.26547","29.8817",
"2020/3/28","61.8925","8.31473","43.14256",
"2020/3/28","80.4894","8.43641","46.95216",
"2020/3/28","91.70438","7.84285","32.09888",
"2020/3/28","92.97313","7.81712","32.24152",
"2020/3/28","67.69971","7.71233","25.00973",
"2020/3/28","73.82153","6.78146","22.68358",
"2020/3/28","83.74432","6.45169","18.88539",
"2020/3/28","88.86544","6.33914","17.47269",
"2020/3/28","107.4455","7.29318",,
"2020/3/28","104.0998","7.85154","19.64309",
"2020/3/28","89.41991","7.64922","27.44943",
"2020/3/28","111.3919","7.7081","20.3734",
"2020/3/28","120.773","7.90403","15.00903",
"2020/3/28","129.745","7.64149","13.46682",
"2020/3/28","160.1231","7.82117","13.47196",
"2020/3/28","146.4037","7.45445","14.34947",
"2020/3/28","106.1598","7.90826","13.79946",
"2020/3/28","82.61898","7.72774","14.39055",
"2020/3/28","102.4348","7.72085","17.84013",
"2020/3/28","83.53825","7.7099","18.64689",
"2020/3/28","83.97581","7.66275","23.32317",
"2020/3/27","77.18839","7.37286","30.78147",
"2020/3/27","77","6.70837","36.22799",
"2020/3/27","64.34477","7.2538","30.80315",
"2020/3/27","77.61111","6.85493","44.18668",
"2020/3/27","63.38407","6.84583","36.41343",
"2020/3/27","58.13475","7.07686","41.22321",
"2020/3/27","70.64964","7.13611","34.54885",
"2020/3/27","43.75461","7.2552","30.19038",
"2020/3/27","44.94886","6.9365","38.29169",
"2020/3/27","36.24221","6.43161","37.37481",
"2020/3/27","41.8383","7.74734","45.56514",
"2020/3/27","42","7.70905","48.39966",
"2020/3/27","30.33645","7.54441",,
"2020/3/27","23.20336","7.4943","53.33496",
"2020/3/27","25.9263","7.63703","60.04641",
"2020/3/27","15.29645","7.5969","45.095",
"2020/3/27","16.9461","7.45665","20.00482",
"2020/3/27","20.8922","7.70209","30.59262",
"2020/3/27","35.59575","7.85517","21.30397",
"2020/3/27","31.12784","7.66726","29.04984",
"2020/3/27","58.28409","8.07895","19.6351",
"2020/3/27","109.5986","7.89214","28.73831",
"2020/3/27","113.918","7.6067","22.30644",
"2020/3/27","102.3138","7.63861","16.901",
"2020/3/26","65.97823","7.52975","15.83976",
"2020/3/26","56.23869","7.75192","23.44983",
"2020/3/26","52.11232","7.2038","28.98479",
"2020/3/26","49.07969","7.00738","29.27406",
"2020/3/26","47.05296","7.50331","31.71091",
"2020/3/26","46.02467","7.1292","36.91038",
"2020/3/26","40.1617","6.95939","32.81094",
"2020/3/26","30.2695","7.0626","37.39649",
"2020/3/26","27.08085","7.12849","33.04715",
"2020/3/26","37.70396","7.12752","26.70713",
"2020/3/26","31.18839","7.62936","27.41348",
"2020/3/26","32.9461","7.37753","32.88796",
"2020/3/26","22.29603","7.38875","32.68028",
"2020/3/26","27.83807","7.66781",,
"2020/3/26","21.18839","7.61807","37.15401",
"2020/3/26","16.13649","7.66105","28.60309",
"2020/3/26","23.77246","7.99333","22.16894",
"2020/3/26","16.21591","7.97757","23.65124",
"2020/3/26","24.76989","7.84655","18.83917",
"2020/3/26","29.87216","7.6494","19.30931",
"2020/3/26","28.05121","7.9728","28.566",
"2020/3/26","22.15341","8.31504","25.32354",
"2020/3/26","16.15341","7.61433","28.34805",
"2020/3/26","13.0766","7.27901","29.61354",
"2020/3/25","14.94618","7.50598","28.56087",
"2020/3/25","18.89235","7.87223","22.66817",
"2020/3/25","25.79848","7.56314","23.99129",
"2020/3/25","25.02652","7.57473","27.59663",
"2020/3/25","15.26357","7.43004","28.60195",
"2020/3/25","27.65523","8.0586","28.64303",
"2020/3/25","13.41991","7.27921","23.0048",
"2020/3/25","17.86587","6.88588","25.64932",
"2020/3/25","13.14164","6.87493","27.4363",
"2020/3/25","18.83027","6.81336","30.44827",
"2020/3/25","25.81135","7.33774","36.52525",
"2020/3/25","19.19802","7.35006","36.67645",
"2020/3/25","8.296453","8.41901","47.54782",
"2020/3/25","5.084986","7.76929","36.60456",
"2020/3/25","5.97305","8.45215",,
"2020/3/25","8.916177","8.03924","26.76704",
"2020/3/25","9","8.45611","25.396",
"2020/3/25","6.079563","8.57558","17.41393",
"2020/3/25","5.027439","8.43791","14.48355",
"2020/3/25","8.892045","8.08854","18.15165",
"2020/3/25","10.94618","8.08535","18.43066",
"2020/3/25","7.113475","8.68546","15.12486",
"2020/3/25","7.973011","8.68966","17.42819",
"2020/3/25","8","7.96199","19.11019",
"2020/3/24","11.88669","8.11433","21.99663",
"2020/3/24","11.02829","7.93011","23.04645",
"2020/3/24","9.056818","8.55719","25.09246",
"2020/3/24","10.94532","8.15427","28.38057",
"2020/3/24","12.94704","7.84887","32.03955",
"2020/3/24","13","7.61329","27.96293",
"2020/3/24","11.05296","7.9426","27.93554",
